id,name,category,city,address,phone,hours,notes,image,website
1,Nelson City Mission Food Bank,Food,Nelson,46 Waimea Road Nelson,03-548-1154,Mon-Fri 9am-4pm,Photo ID required referral needed,https://images.unsplash.com/photo-1593113598332-cd288d649433?w=800&q=80,
2,The Salvation Army Nelson,Food,Nelson,18 Selwyn Place Nelson,03-548-8339,Mon-Fri 9am-4:30pm,Food parcels budgeting advice,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=800&q=80,
3,St John's Anglican Church Kai,Food,Nelson,3 Vanguard Street Nelson,03-548-2929,Tue 6pm-7pm,Free community meal all welcome,https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?w=800&q=80,
4,St Vincent de Paul Op Shop Nelson,Clothing,Nelson,140 Rutherford Street Nelson,03-548-4804,Mon-Sat 9am-4pm,Affordable clothing and household items,https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800&q=80,
5,Red Cross Shop Nelson,Clothing,Nelson,228 Hardy Street Nelson,03-546-6797,Mon-Fri 9:30am-4pm Sat 10am-1pm,Quality second-hand items furniture,https://images.unsplash.com/photo-1489987707025-afc232f7ea0f?w=800&q=80,
6,Salvation Army Family Store Richmond,Clothing,Nelson,232 Queen Street Richmond,03-544-8906,Mon-Fri 9am-4:30pm Sat 9am-3pm,Clothing furniture household goods,https://images.unsplash.com/photo-1567401893414-76b7b1e5a7a5?w=800&q=80,
7,Hospice Shop Nelson (Vanguard),Clothing,Nelson,3 Vanguard Street Nelson,03-546-3160,Mon-Sat 9am-4pm,Quality second-hand clothing homewares,https://images.unsplash.com/photo-1558769132-cb1aea74f99f?w=800&q=80,
8,Hospice Shop Richmond Superstore,Clothing,Nelson,Queen Street Richmond,03-544-1212,Mon-Sat 9am-4pm,Large store furniture bric-a-brac,https://images.unsplash.com/photo-1604719312566-8912e9227c6a?w=800&q=80,
9,Hospice Shop Stoke (Saxton),Clothing,Nelson,3 Elms Street Wakatu Estate Stoke,03-547-9730,Mon-Sat 9am-4pm,Turn left into driveway after Animates,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=800&q=80,
10,Hospice Shop Motueka,Clothing,Nelson,High Street Motueka,03-528-8859,Mon-Sat 9am-4pm,Clothing homewares furniture,https://images.unsplash.com/photo-1603400521630-9f2de124b33b?w=800&q=80,
11,Nelson Environment Centre Op Shop,Clothing,Nelson,95 Milton Street Nelson,03-545-7681,Mon-Fri 9am-4pm Sat 10am-3pm,Front & Back shops furniture building supplies bikes. Supports Kai Rescue,https://images.unsplash.com/photo-1567696153798-7bfc49d72a88?w=800&q=80,
12,Habitat for Humanity ReStore Nelson,Clothing,Nelson,Tahunanui Drive Nelson,03-545-1177,Mon-Sat 9am-4pm,Furniture appliances clothing home building supplies. Nook Cafe on-site,https://images.unsplash.com/photo-1574643156929-51fa098b0394?w=800&q=80,
13,SPCA Op Shop Nelson,Clothing,Nelson,Check SPCA website for location,03-547-7171,Check website for hours,Supports local SPCA animals,https://images.unsplash.com/photo-1601758228041-f3b2795255f1?w=800&q=80,
14,Nelson Women's Centre Op Shop,Clothing,Nelson,44 Trafalgar Street Nelson,03-546-7986,Tue-Thu 9am-3pm,Op shop supports women's centre services,https://images.unsplash.com/photo-1578932750294-f5075e85f44a?w=800&q=80,
15,Nelson Public Library,Community,Nelson,27 Halifax Street Nelson,03-546-8100,Mon-Fri 9am-6pm Sat-Sun 10am-4pm,Free WiFi computers warm space JP services available,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800&q=80,
16,Richmond Library,Community,Nelson,280 Queen Street Richmond,03-543-8500,Mon-Fri 9:30am-5pm Sat 10am-1pm,Free WiFi printing community hub,https://images.unsplash.com/photo-1521587760476-6c12a4b040da?w=800&q=80,
17,Motueka Library,Community,Nelson,105 High Street Motueka,03-528-1047,Mon-Fri 9:30am-5pm Sat 10am-1pm,Free internet access warm space,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=800&q=80,
18,Victory Community Centre,Community,Nelson,Rutherford Park Nelson,03-548-8129,Various - check website,Community activities meals programmes for all ages,https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=800&q=80,
19,Nikau Hauora Hub,Community,Nelson,Check website for location,,Varies by activity,Health & wellness hub community activities,https://images.unsplash.com/photo-1559131397-f94217f0a3c7?w=800&q=80,
20,Plunket Nelson,Whanau,Nelson,35 Putaitai Street Stoke,03-546-7912,Mon-Fri 8:30am-4:30pm,Free health checks for under-5s parenting support,https://images.unsplash.com/photo-1555252333-9f8e92e65df9?w=800&q=80,
21,Nelson Tasman Toy Library,Whanau,Nelson,Neale Park Community Centre 50 Hastings Street,03-548-9469,Tue & Thu 10am-12pm Sat 10am-12pm,Borrow toys for small annual fee,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800&q=80,
22,Nelson Budgeting Service,Whanau,Nelson,252 Trafalgar Street Nelson,03-546-4300,Mon-Fri 9am-4pm,Free budgeting advice and financial mentoring,https://images.unsplash.com/photo-1554224311-5a63be802aa6?w=800&q=80,
23,Family Works Nelson,Whanau,Nelson,122 Waimea Road Nelson,03-548-2522,Mon-Fri 9am-5pm,Family counseling parenting courses budget advice,https://images.unsplash.com/photo-1511895426328-dc8714191300?w=800&q=80,
24,Tahuna Beach Reserve,Activities,Nelson,Rocks Road Tahunanui,,Always open,Free beach access playground toilets BBQ areas,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&q=80,
25,Centre of New Zealand Walk,Activities,Nelson,Botanical Hill Milton Street Nelson,,Always open,Free scenic walk with amazing views 15min to summit,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800&q=80,
26,Founders Heritage Park,Activities,Nelson,87 Atawhai Drive Nelson,03-548-2649,Daily 10am-4:30pm,Free entry to park small fee for train rides,https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3?w=800&q=80,
27,Nelson Market - Saturday,Activities,Nelson,Montgomery Square Nelson,,Every Saturday 8am-1pm,Year-round farmers market food crafts produce,https://images.unsplash.com/photo-1533900298318-6b8da08a523e?w=800&q=80,
28,Nelson Sunday Market,Activities,Nelson,Montgomery Square Nelson,,Every Sunday 10am-2pm,Second-hand goods crafts treasure hunting,https://images.unsplash.com/photo-1555529669-e69e7aa0ba9a?w=800&q=80,
29,Richmond Boot Market,Activities,Nelson,Church of Christ Cnr Croucher & Darcy Streets Richmond,,2nd Saturday monthly 9am-12pm,Car boot sale $5 to sell,https://images.unsplash.com/photo-1528698827591-e19ccd7bc23d?w=800&q=80,
30,Nelson Hospital Emergency Department,Health,Nelson,98 Waimea Road Waimea,03-546-1800,24/7,Emergency care no cost for residents,https://images.unsplash.com/photo-1631217868264-e5b90bb7e133?w=800&q=80,
31,Youth One Stop Shop Nelson,Health,Nelson,354 Trafalgar Street Nelson,03-543-7836,Mon-Fri 10am-5pm,Free health services for 10-24 year olds,https://images.unsplash.com/photo-1576091160550-2173dba999ef?w=800&q=80,
32,Nelson Women's Centre,Health,Nelson,44 Trafalgar Street Nelson,03-546-7986,Tue-Thu 9am-3pm other times by appointment,Low-cost counselling ($30-50 vs $150+ market rate) free social work support up to 10 sessions no referral needed,https://images.unsplash.com/photo-1573497620053-ea5300f94f21?w=800&q=80,https://www.nelsonwomenscentre.org.nz
33,Nelson YMCA,Health,Nelson,156 Rutherford Street Nelson,03-548-5696,Mon-Fri 6am-9pm Sat-Sun 7am-7pm,Affordable showers and facilities,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=800&q=80,
34,Richmond Aquatic Centre,Health,Nelson,Queen Street Richmond,03-543-9515,Mon-Fri 6am-7pm Sat-Sun 8am-6pm,Showers available pool access,https://images.unsplash.com/photo-1576610616656-d3aa5d1f4534?w=800&q=80,
35,Community Law Nelson,Legal,Nelson,202 Hardy Street Nelson,03-548-8118,Mon-Fri 9am-4pm,Free legal advice no appointment needed,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=800&q=80,
36,Citizens Advice Bureau Nelson,Legal,Nelson,27 Halifax Street Nelson,03-548-2117,Mon-Fri 10am-3pm,Free advice on legal consumer immigration matters. JP services available,https://images.unsplash.com/photo-1450101499163-c8848c66ca85?w=800&q=80,
37,Nelson Multicultural Council,Legal,Nelson,62 Trafalgar Street Nelson,03-546-7681,Mon-Fri 9am-5pm,Immigration support settlement services translation help,https://images.unsplash.com/photo-1521737604893-d14cc237f11d?w=800&q=80,
